task_description,task_category,task_required_skill,employer_id,employer_skill,match,required_skills_list,employer_skills_list
"this tsk involves testing mobile development pp skills needed rect ntive,flutter,jv,swift",mobile development,"rect ntive,flutter,java,swift",47591ff4-a661-d97c-5c1b-339aeb125314,"flutter,react native,python",1,"['rect ntive', 'flutter', 'java', 'swift']","['flutter', 'react native', 'python']"
"this task involves developing a cybersecurity app skills needed networking,firewalls",cybersecurity,"networking,firewalls",c6a68bce-8da2-68c1-52ad-455bc2e33355,"networking,firewalls,jvscript",1,"['networking', 'firewalls']","['networking', 'firewalls', 'jvscript']"
"this task involves developing a game development app skills needed blender,unrel engine",game development,"blndr,unrel engine",546eccbe-8cc1-1a4c-aaed-cf37eaab3c54,"blender,unreal engine,aws,networking",1,"['blndr', 'unrel engine']","['blender', 'unreal engine', 'aws', 'networking']"
"this tsk involves designing devops pp skills needed terrform,kubernetes",devops,"terrform,kubrnts",d9acdbad-067e-9439-407f-aba78986b098,"jv,numpy,rect ntive",0,"['terrform', 'kubrnts']","['jv', 'numpy', 'rect ntive']"
"this tsk involves improving devops pp skills needed cicd,docker,terrform",devops,"cicd,docker,terrform",3934c4f4-f15f-d2f8-f94b-9593b3cdab0d,"trraform,docker,python",1,"['cicd', 'docker', 'terrform']","['trraform', 'docker', 'python']"
"this task involves testing a cybersecurity app skills needed firewalls,networking,encryption",cybersecurity,"firwalls,networking,encryption",01acdb81-bece-d8d4-f9ec-33e1673b5366,"firewalls,ntworking,unity,react,unreal engine",1,"['firwalls', 'networking', 'encryption']","['firewalls', 'ntworking', 'unity', 'react', 'unreal engine']"
"this task involves developing a devops app skills needed cicd,aws",devops,"cicd,aws",6731def4-5583-15e2-d163-e32ef10fa8cb,"ract,c,jvscript,kotlin",0,"['cicd', 'aws']","['ract', 'c', 'jvscript', 'kotlin']"
"this task involves developing a devops app skills needed terraform,aws",devops,"terraform,aws",f928cda8-5011-2fbb-1b60-3026ba3e43e6,"aws,terraform,kotlin",1,"['terraform', 'aws']","['aws', 'terraform', 'kotlin']"
"this task involves developing a game development app skills needed unity,c,blender,unrel engine",game development,"unity,c,blndr,unrel engine",3f02aff3-906b-ae46-192e-929dda9baad1,"encryption,react,html,kubrnts,docker",0,"['unity', 'c', 'blndr', 'unrel engine']","['encryption', 'react', 'html', 'kubrnts', 'docker']"
"this task involves improving a cybersecurity app skills needed encryption,siem,firewalls",cybersecurity,"encryption,siem,firwalls",7858e3bf-f9dd-2fdc-1dcf-405eb41749c8,"networking,terrform,kotlin",0,"['encryption', 'siem', 'firwalls']","['networking', 'terrform', 'kotlin']"
"this task involves designing a web development app skills needed nodejs,css,react,jvscript",web development,"nodejs,css,react,jvscript",a3927658-0086-b152-32fc-e3ac92cae752,"swift,penetration testing,pandas",0,"['nodejs', 'css', 'react', 'jvscript']","['swift', 'penetration testing', 'pandas']"
"this task involves testing a cybersecurity app skills needed siem,penetration testing",cybersecurity,"siem,penetration testing",c172eaa4-3854-33c2-fb88-e5986c20cbd2,"sql,numpy,react,java",0,"['siem', 'penetration testing']","['sql', 'numpy', 'react', 'java']"
"this tsk involves improving devops pp skills needed kubernetes,docker",devops,"kubernetes,docker",cea7299e-020e-1187-146c-d4fc60466932,"kubernetes,docker,swift,encryption,cicd",1,"['kubernetes', 'docker']","['kubernetes', 'docker', 'swift', 'encryption', 'cicd']"
"this task involves improving a data science app skills needed pandas,numpy,sql,python",data science,"pandas,numpy,sql,python",8c601188-54f9-4f65-52dc-3937733d917b,"numpy,python,siem,docker,pandas",1,"['pandas', 'numpy', 'sql', 'python']","['numpy', 'python', 'siem', 'docker', 'pandas']"
"this task involves designing a devops app skills needed cicd,aws,docker,terraform",devops,"cicd,aws,docker,terraform",d117ad4f-0e49-4b1d-27e4-651727fc1808,"aws,terraform,siem",1,"['cicd', 'aws', 'docker', 'terraform']","['aws', 'terraform', 'siem']"
"this task involves testing a game development app skills needed c,c,unreal engine",game development,"c,c,unreal engine",44a43290-f530-03c0-3ff0-6038ac8e9293,"pandas,firwalls,aws",0,"['c', 'c', 'unreal engine']","['pandas', 'firwalls', 'aws']"
"this task involves designing a mobile development app skills needed jv,swift,flutter,react native",mobile development,"jv,swift,flutter,react native",6be922b1-285c-b5c4-08e1-9bdf509376aa,"swift,jv,dockr,penetration testing,javascript",1,"['jv', 'swift', 'flutter', 'react native']","['swift', 'jv', 'dockr', 'penetration testing', 'javascript']"
"this tsk involves testing devops pp skills needed terrform,docker,cicd,ws",devops,"terrform,docker,cicd,aws",a72d6721-2d7e-1cb0-6e02-29663426ac77,"sql,penetrtion testing,nodejs",0,"['terrform', 'docker', 'cicd', 'aws']","['sql', 'penetrtion testing', 'nodejs']"
"this task involves improving a game development app skills needed unity,unreal engine",game development,"unity,unral engin",c90a8973-a0ed-b4ff-0900-d3090ea47ac4,"scikitlern,flutter,trraform,css,java",0,"['unity', 'unral engin']","['scikitlern', 'flutter', 'trraform', 'css', 'java']"
"this task involves improving a mobile development app skills needed react native,jv,swift",mobile development,"ract nativ,jv,swift",4bd8b47c-a5ef-14c8-a14d-d9bf130795d9,"penetrtion testing,cicd,react,numpy,c",0,"['ract nativ', 'jv', 'swift']","['penetrtion testing', 'cicd', 'react', 'numpy', 'c']"
"this task involves designing a devops app skills needed aws,kubernetes,cicd",devops,"aws,kubrnts,cicd",69e54632-21c7-0bfc-bc30-19a8c8abeed5,"jvscript,kotlin,rct ntiv,encryption,react",0,"['aws', 'kubrnts', 'cicd']","['jvscript', 'kotlin', 'rct ntiv', 'encryption', 'react']"
"this tsk involves designing dt science pp skills needed python,pnds,sql",data science,"python,pandas,sql",a802d192-4a10-966a-53e2-d539d9724994,"java,scikitlern,flutter,docker,html",0,"['python', 'pandas', 'sql']","['java', 'scikitlern', 'flutter', 'docker', 'html']"
"this task involves improving a mobile development app skills needed flutter,rect ntive",mobile development,"flutter,rct ntiv",c1bc2668-b4f8-8420-227f-1194ca4e8929,"fluttr,rct ntiv,numpy",1,"['flutter', 'rct ntiv']","['fluttr', 'rct ntiv', 'numpy']"
"this tsk involves testing devops pp skills needed cicd,kubernetes",devops,"cicd,kubernetes",e976fbcc-4010-eba1-8880-63eb09cef8ec,"kubrnts,cicd,firwalls,swift,scikitlearn",1,"['cicd', 'kubernetes']","['kubrnts', 'cicd', 'firwalls', 'swift', 'scikitlearn']"
"this task involves improving a cybersecurity app skills needed penetration testing,siem",cybersecurity,"penetration testing,siem",4126a151-d142-b703-8b19-5c3ca5e59177,"encryption,kotlin,unity,cicd,blndr",0,"['penetration testing', 'siem']","['encryption', 'kotlin', 'unity', 'cicd', 'blndr']"
"this task involves testing a data science app skills needed sql,python",dt science,"sql,python",893b605e-54b5-c1ab-7399-6bdc5d329ccd,"siem,swift,numpy,css,aws",0,"['sql', 'python']","['siem', 'swift', 'numpy', 'css', 'aws']"
"this task involves developing a web development app skills needed react,javascript",web development,"react,javascript",20ebb1ee-8cfa-cc0d-5ed8-2a492ccc9319,"jvscript,react,networking,pnds",1,"['react', 'javascript']","['jvscript', 'react', 'networking', 'pnds']"
"this task involves testing a web development app skills needed javascript,react,html",web development,"javascript,react,html",804ba5d9-5896-59d5-71d4-c37d66ab556f,"rect,html,kotlin,unral engin,firwlls",1,"['javascript', 'react', 'html']","['rect', 'html', 'kotlin', 'unral engin', 'firwlls']"
"this task involves designing a cybersecurity app skills needed penetration testing,networking,firewlls,encryption",cybersecurity,"penetration testing,networking,firewlls,encryption",4f4029ff-837f-aebb-f415-8f45166abff8,"encryption,ntworking,html,sql,c",1,"['penetration testing', 'networking', 'firewlls', 'encryption']","['encryption', 'ntworking', 'html', 'sql', 'c']"
"this task involves improving a web development app skills needed react,html,javascript,css",web development,"react,html,javascript,css",163b4c07-d4ea-63a0-e1c8-5a4261838fe0,"rct,javascript,unral engin,encryption",1,"['react', 'html', 'javascript', 'css']","['rct', 'javascript', 'unral engin', 'encryption']"
"this tsk involves developing mobile development pp skills needed flutter,rect ntive,jv,kotlin",mobile development,"flutter,rect ntive,java,kotlin",1a329e09-7de3-1059-f95f-5305f67c4827,"nodejs,ract,c",0,"['flutter', 'rect ntive', 'java', 'kotlin']","['nodejs', 'ract', 'c']"
"this task involves designing a game development app skills needed c,c,unity,unreal engine",game development,"c,c,unity,unral engin",17694a96-10b4-b13a-f35d-0b0d5f2303dd,"siem,cicd,firewalls,ract,swift",0,"['c', 'c', 'unity', 'unral engin']","['siem', 'cicd', 'firewalls', 'ract', 'swift']"
"this task involves developing a game development app skills needed blender,c,unity",gme development,"blender,c,unity",a8d8cf1c-bae9-a82a-7d64-545236bc738b,"scikitlrn,encryption,c,ntworking,docker",0,"['blender', 'c', 'unity']","['scikitlrn', 'encryption', 'c', 'ntworking', 'docker']"
"this task involves testing a mobile development app skills needed swift,rect ntive,flutter",mobile development,"swift,rect ntive,flutter",69de3989-c29f-26b3-a6d5-e03f617dcdf3,"react native,flutter,cicd,blndr",1,"['swift', 'rect ntive', 'flutter']","['react native', 'flutter', 'cicd', 'blndr']"
"this tsk involves testing mobile development pp skills needed flutter,jv,rect ntive",mobile development,"flutter,java,rect ntive",0a07760f-de45-fe74-95e0-d451ee11b0af,"java,flutter,nodjs,penetration testing",1,"['flutter', 'java', 'rect ntive']","['java', 'flutter', 'nodjs', 'penetration testing']"
"this task involves designing a devops app skills needed docker,kubernetes",devops,"docker,kubernetes",8a19704f-d77f-9ad9-b446-be3cb8d5603c,"docker,kubrnts,terraform,unity,numpy",1,"['docker', 'kubernetes']","['docker', 'kubrnts', 'terraform', 'unity', 'numpy']"
"this task involves designing a devops app skills needed docker,cicd,terraform",devops,"docker,cicd,terraform",0943b2e7-c531-aeb2-eaa9-e421661d74ac,"trraform,dockr,siem",1,"['docker', 'cicd', 'terraform']","['trraform', 'dockr', 'siem']"
"this tsk involves testing mobile development pp skills needed rect ntive,kotlin,flutter",mobile development,"ract nativ,kotlin,flutter",04094fbf-c343-16bf-add2-96f336b6551e,"networking,cicd,html",0,"['ract nativ', 'kotlin', 'flutter']","['networking', 'cicd', 'html']"
"this task involves developing a data science app skills needed pnds,python,numpy",data science,"pnds,python,numpy",bd038519-45e7-3f3f-04ed-d3daa7be0b58,"siem,javascript,terraform",0,"['pnds', 'python', 'numpy']","['siem', 'javascript', 'terraform']"
"this task involves designing a cybersecurity app skills needed encryption,penetrtion testing",cybersecurity,"encryption,pntrtion tsting",ae474bf8-8600-8bf7-ba3f-a9a105f3a9f8,"css,java,sql,swift,c",0,"['encryption', 'pntrtion tsting']","['css', 'java', 'sql', 'swift', 'c']"
"this task involves testing a data science app skills needed sql,python",dt science,"sql,python",bfa1f054-5fef-b4fd-bdce-fe3186ad4cc6,"python,sql,scikitlern",1,"['sql', 'python']","['python', 'sql', 'scikitlern']"
"this tsk involves testing devops pp skills needed docker,terrform,cicd,kubernetes",devops,"docker,terraform,cicd,kubernetes",4643ad6c-cd77-7763-f842-c67f4fe058f8,"trrform,docker,react native,aws",1,"['docker', 'terraform', 'cicd', 'kubernetes']","['trrform', 'docker', 'react native', 'aws']"
"this tsk involves developing gme development pp skills needed c,unrel engine,c",game development,"c,unreal engine,c",e53eccdf-951a-de9a-e4c5-52c708765d67,"unral engin,c,docker",1,"['c', 'unreal engine', 'c']","['unral engin', 'c', 'docker']"
"this task involves designing a web development app skills needed javascript,html,nodejs,react",web development,"javascript,html,nodejs,react",636e13a6-7d46-5509-f151-e983dfeef085,"kubernetes,css,java",0,"['javascript', 'html', 'nodejs', 'react']","['kubernetes', 'css', 'java']"
"this task involves developing a devops app skills needed docker,kubernetes,terraform",devops,"dockr,kubernetes,terraform",e6c6d0d2-e079-8a1b-44d1-610e22699d64,"kubrnts,terrform,aws",1,"['dockr', 'kubernetes', 'terraform']","['kubrnts', 'terrform', 'aws']"
"this task involves designing a web development app skills needed html,javascript,css,nodejs",web development,"html,javascript,css,nodejs",7338ccf0-38bd-4da0-2e7b-6607dfdb3c95,"jvscript,nodejs,fluttr,c",1,"['html', 'javascript', 'css', 'nodejs']","['jvscript', 'nodejs', 'fluttr', 'c']"
"this task involves testing a mobile development app skills needed react native,kotlin,flutter,swift",mobile development,"react native,kotlin,flutter,swift",5b2e0d59-7ffa-7da9-1797-da03b830e5ea,"flutter,kotlin,react,c,css",1,"['react native', 'kotlin', 'flutter', 'swift']","['flutter', 'kotlin', 'react', 'c', 'css']"
"this task involves improving a devops app skills needed cicd,ws,kubernetes",devops,"cicd,ws,kubrnts",3644e121-a978-af69-b62c-436fc6d9d924,"kubrnts,aws,swift,cicd,nodjs",1,"['cicd', 'ws', 'kubrnts']","['kubrnts', 'aws', 'swift', 'cicd', 'nodjs']"
"this task involves developing a game development app skills needed unreal engine,unity,c,c",game development,"unreal engine,unity,c,c",ae147f65-775b-24da-67ae-77f42a2edbbc,"networking,ract,jvscript,scikitlearn",0,"['unreal engine', 'unity', 'c', 'c']","['networking', 'ract', 'jvscript', 'scikitlearn']"
"this task involves testing a game development app skills needed blender,unity,c",gme development,"blender,unity,c",3d4cb2f7-79f5-4353-b95f-ca873aa966fa,"penetration testing,docker,react",0,"['blender', 'unity', 'c']","['penetration testing', 'docker', 'react']"
"this task involves improving a data science app skills needed python,sql,scikitlearn,numpy",data science,"python,sql,scikitlearn,numpy",f1f9c6df-d64c-81b9-4b4e-bd41080cac74,"scikitlarn,numpy,sql,flutter",1,"['python', 'sql', 'scikitlearn', 'numpy']","['scikitlarn', 'numpy', 'sql', 'flutter']"
"this tsk involves designing cybersecurity pp skills needed firewlls,penetration testing",cybersecurity,"firewalls,pntration tsting",8f00559d-5b0e-08b0-7c4b-650d3fa2105b,"firewlls,penetration testing,docker,kubernetes",1,"['firewalls', 'pntration tsting']","['firewlls', 'penetration testing', 'docker', 'kubernetes']"
"this task involves developing a game development app skills needed unreal engine,blender",game development,"unral engin,blndr",5486d070-f4f5-ee70-0b1c-b9388c1cd757,"pntration tsting,ntworking,unity",0,"['unral engin', 'blndr']","['pntration tsting', 'ntworking', 'unity']"
"this task involves testing a mobile development app skills needed swift,java,flutter,kotlin",mobile development,"swift,java,fluttr,kotlin",6ea9656c-e8f8-7041-a6dd-76bcce7ded0f,"c,ws,c,sql",0,"['swift', 'java', 'fluttr', 'kotlin']","['c', 'ws', 'c', 'sql']"
"this tsk involves developing devops pp skills needed kubernetes,docker,cicd",devops,"kubernetes,docker,cicd",83f64895-3006-e1f3-5653-59cbdc00a36b,"encryption,networking,ract,scikitlrn",0,"['kubernetes', 'docker', 'cicd']","['encryption', 'networking', 'ract', 'scikitlrn']"
"this task involves testing a cybersecurity app skills needed encryption,networking,siem,penetration testing",cybersecurity,"encryption,ntworking,siem,penetration testing",1cdf5823-fdf1-1880-591a-2cd493d9feca,"scikitlearn,cicd,pandas",0,"['encryption', 'ntworking', 'siem', 'penetration testing']","['scikitlearn', 'cicd', 'pandas']"
"this task involves designing a mobile development app skills needed kotlin,react native",mobile development,"kotlin,react native",e63cc4d8-ba02-8a61-950d-f2dc49c51737,"rect ntive,kotlin,jvscript,ract",1,"['kotlin', 'react native']","['rect ntive', 'kotlin', 'jvscript', 'ract']"
"this task involves developing a game development app skills needed c,c",game development,"c,c",ba16405c-6694-7622-ac79-98d09892f74b,"c,c,ntworking,docker,kotlin",1,"['c', 'c']","['c', 'c', 'ntworking', 'docker', 'kotlin']"
"this task involves developing a data science app skills needed sql,python,scikitlern",data science,"sql,python,scikitlern",b25d5789-e457-a3e0-e557-a2cbd313523d,"react,react native,unity,c,pnds",0,"['sql', 'python', 'scikitlern']","['react', 'react native', 'unity', 'c', 'pnds']"
"this tsk involves designing mobile development pp skills needed swift,jv,flutter,rect ntive",mobile development,"swift,java,flutter,react native",b71d3f5a-2acd-c261-b20a-c9c1fa87fb8c,"swift,react native,unreal engine",1,"['swift', 'java', 'flutter', 'react native']","['swift', 'react native', 'unreal engine']"
"this tsk involves testing mobile development pp skills needed rect ntive,java,flutter,kotlin",mobile development,"rct ntiv,java,fluttr,kotlin",c3857b8f-26af-305b-e894-66e42f7aa55f,"kotlin,react native,javascript,pnds",1,"['rct ntiv', 'java', 'fluttr', 'kotlin']","['kotlin', 'react native', 'javascript', 'pnds']"
"this task involves testing a data science app skills needed pnds,sql,python",dt science,"pnds,sql,python",abfab1d9-111d-6989-1fe9-b1ccc56935b3,"unity,penetration testing,unrel engine",0,"['pnds', 'sql', 'python']","['unity', 'penetration testing', 'unrel engine']"
"this task involves testing a data science app skills needed scikitlern,sql,pandas",data science,"scikitlern,sql,pandas",eec0e037-cab9-70b2-e182-5eb3054dc437,"pandas,scikitlearn,blender",1,"['scikitlern', 'sql', 'pandas']","['pandas', 'scikitlearn', 'blender']"
"this task involves testing a mobile development app skills needed jv,swift",mobile development,"jv,swift",e40a515e-2081-4b86-0467-b83104eb72ae,"encryption,siem,cicd,nodejs",0,"['jv', 'swift']","['encryption', 'siem', 'cicd', 'nodejs']"
"this task involves improving a cybersecurity app skills needed encryption,siem,networking",cybersecurity,"encryption,siem,ntworking",a9b13d30-2bd9-98b7-c5f7-70e24dfe3d5c,"siem,encryption,css,ract,fluttr",1,"['encryption', 'siem', 'ntworking']","['siem', 'encryption', 'css', 'ract', 'fluttr']"
"this task involves improving a cybersecurity app skills needed siem,encryption,firewalls,networking",cybersecurity,"siem,encryption,firewalls,networking",f36513c2-ff06-19bd-023d-87a20b172f07,"encryption,firewalls,siem,networking",1,"['siem', 'encryption', 'firewalls', 'networking']","['encryption', 'firewalls', 'siem', 'networking']"
"this task involves developing a mobile development app skills needed flutter,java,react native",mobile development,"flutter,java,react native",6a1eac92-dc7d-84ac-db08-c9c013fba022,"unrl engin,c,pnds,kubernetes,numpy",0,"['flutter', 'java', 'react native']","['unrl engin', 'c', 'pnds', 'kubernetes', 'numpy']"
"this tsk involves testing devops pp skills needed terrform,docker,cicd,ws",devops,"trraform,docker,cicd,aws",d3036a5c-4f26-8736-434f-f831bcbe5f8f,"cicd,trraform,penetration testing,firwalls",1,"['trraform', 'docker', 'cicd', 'aws']","['cicd', 'trraform', 'penetration testing', 'firwalls']"
"this task involves testing a mobile development app skills needed kotlin,jv,react native",mobile development,"kotlin,jv,ract nativ",83e8304d-5ba3-e201-a595-8b58903f2f18,"java,ract nativ,html,c,nodejs",1,"['kotlin', 'jv', 'ract nativ']","['java', 'ract nativ', 'html', 'c', 'nodejs']"
"this tsk involves testing gme development pp skills needed c,c,unity,blender",gme development,"c,c,unity,blender",6f9c411e-823a-052c-5ee0-c37fb628045e,"unity,c,ract nativ",1,"['c', 'c', 'unity', 'blender']","['unity', 'c', 'ract nativ']"
"this tsk involves improving dt science pp skills needed pnds,python,scikitlern",data science,"pandas,python,scikitlern",cbc42e84-c5d2-4eb2-d672-43c7dd6b2b41,"firwalls,penetration testing,encryption",0,"['pandas', 'python', 'scikitlern']","['firwalls', 'penetration testing', 'encryption']"
"this task involves testing a game development app skills needed c,unity",game development,"c,unity",68c0a4e5-ba14-eb69-eb05-f1aa3ddbce0b,"nodejs,c,networking",0,"['c', 'unity']","['nodejs', 'c', 'networking']"
"this task involves testing a web development app skills needed html,nodejs,react",web development,"html,nodejs,react",4ce41a64-1ce8-abbe-edbd-f6227f61e3fe,"kotlin,c,encryption,flutter,siem",0,"['html', 'nodejs', 'react']","['kotlin', 'c', 'encryption', 'flutter', 'siem']"
"this tsk involves designing gme development pp skills needed unity,blender",gme development,"unity,blndr",36b32062-a6a2-bc61-134e-1b099351aeab,"aws,trrform,networking,swift",0,"['unity', 'blndr']","['aws', 'trrform', 'networking', 'swift']"
"this tsk involves testing devops pp skills needed kubernetes,cicd",devops,"kubernetes,cicd",4470584f-acbe-1b18-55c6-d3dd9d7b4a52,"kubrnts,cicd,python,dockr",1,"['kubernetes', 'cicd']","['kubrnts', 'cicd', 'python', 'dockr']"
"this task involves developing a web development app skills needed html,react",web development,"html,react",4229a353-3d0f-069a-2fe7-532e4114147a,"pntrtion tsting,rct ntiv,pnds,c",0,"['html', 'react']","['pntrtion tsting', 'rct ntiv', 'pnds', 'c']"
"this task involves testing a cybersecurity app skills needed siem,firewalls,encryption,penetration testing",cybersecurity,"siem,firwalls,encryption,penetration testing",5bdd76ec-3502-3ceb-b010-9f3a5b61bc87,"kotlin,sql,cicd,blndr,kubrnts",0,"['siem', 'firwalls', 'encryption', 'penetration testing']","['kotlin', 'sql', 'cicd', 'blndr', 'kubrnts']"
"this task involves designing a game development app skills needed unity,unreal engine,blender",game development,"unity,unral engin,blender",e0b41b28-e4be-3d6e-1b01-3c893317f85b,"blender,unity,aws,nodjs,flutter",1,"['unity', 'unral engin', 'blender']","['blender', 'unity', 'aws', 'nodjs', 'flutter']"
"this task involves developing a data science app skills needed pandas,python,sql,scikitlern",data science,"pandas,python,sql,scikitlrn",41590d95-fa28-6459-1036-6c0b21533a80,"pnds,scikitlarn,docker,penetrtion testing",1,"['pandas', 'python', 'sql', 'scikitlrn']","['pnds', 'scikitlarn', 'docker', 'penetrtion testing']"
"this task involves testing a game development app skills needed blender,c,unity,c",game development,"blndr,c,unity,c",99273682-4f46-254d-1fd7-4a2801ecd2ed,"unity,c,kotlin,react",1,"['blndr', 'c', 'unity', 'c']","['unity', 'c', 'kotlin', 'react']"
"this task involves developing a game development app skills needed c,c,blender",game development,"c,c,blndr",9e6b0697-d33e-5752-4120-0bcf34345bbf,"pnds,terraform,unreal engine",0,"['c', 'c', 'blndr']","['pnds', 'terraform', 'unreal engine']"
"this task involves testing a mobile development app skills needed react native,flutter",mobile development,"react native,flutter",5fd8c003-a650-4ee6-9f37-0afd824f6717,"flutter,react native,c,terrform",1,"['react native', 'flutter']","['flutter', 'react native', 'c', 'terrform']"
"this task involves testing a mobile development app skills needed rect ntive,flutter,kotlin",mobile development,"rect ntive,flutter,kotlin",b26ad303-8367-0926-6ab2-536595ef05ea,"penetrtion testing,kubernetes,scikitlrn,siem,cicd",0,"['rect ntive', 'flutter', 'kotlin']","['penetrtion testing', 'kubernetes', 'scikitlrn', 'siem', 'cicd']"
"this task involves improving a web development app skills needed nodejs,jvscript",web development,"nodjs,jvscript",c9f8933f-d746-5616-e4e9-6114f1d7c06c,"cicd,unral engin,siem,fluttr,aws",0,"['nodjs', 'jvscript']","['cicd', 'unral engin', 'siem', 'fluttr', 'aws']"
"this tsk involves improving cybersecurity pp skills needed networking,firewlls",cybersecurity,"networking,firewalls",cf687817-ab80-e0a0-c862-a8c26ba000c0,"kotlin,jvscript,c,pandas",0,"['networking', 'firewalls']","['kotlin', 'jvscript', 'c', 'pandas']"
"this task involves testing a devops app skills needed docker,aws,cicd,terrform",devops,"docker,aws,cicd,terrform",aaf5611b-7e45-6f7c-e8a3-9f8444d93919,"firwalls,unrel engine,nodejs,siem,numpy",0,"['docker', 'aws', 'cicd', 'terrform']","['firwalls', 'unrel engine', 'nodejs', 'siem', 'numpy']"
"this task involves improving a web development app skills needed javascript,rect",web development,"javascript,rct",60a0b433-1f68-fbbd-3251-327771836b42,"css,numpy,react native,sql",0,"['javascript', 'rct']","['css', 'numpy', 'react native', 'sql']"
"this task involves developing a data science app skills needed pandas,numpy,scikitlearn,python",dt science,"pandas,numpy,scikitlarn,python",514a6d52-144f-6b3f-f2ee-6e904d05e0b3,"python,scikitlrn,docker,html,numpy",1,"['pandas', 'numpy', 'scikitlarn', 'python']","['python', 'scikitlrn', 'docker', 'html', 'numpy']"
"this task involves designing a web development app skills needed nodejs,javascript,css",web development,"nodjs,javascript,css",043890ad-cbea-b166-69f0-a778769472c8,"jvscript,css,numpy,flutter,siem",1,"['nodjs', 'javascript', 'css']","['jvscript', 'css', 'numpy', 'flutter', 'siem']"
"this tsk involves improving gme development pp skills needed c,unity,c",gme development,"c,unity,c",f21c9a6d-d514-c702-f91e-1c77cbc6b82e,"rct ntiv,docker,javascript,blndr",0,"['c', 'unity', 'c']","['rct ntiv', 'docker', 'javascript', 'blndr']"
"this tsk involves developing mobile development pp skills needed jv,swift,kotlin,rect ntive",mobile development,"java,swift,kotlin,ract nativ",ac647283-e5f0-ef92-de2f-3e7446f5b207,"nodejs,blndr,terraform",0,"['java', 'swift', 'kotlin', 'ract nativ']","['nodejs', 'blndr', 'terraform']"
"this task involves developing a cybersecurity app skills needed siem,networking,penetration testing,encryption",cybersecurity,"siem,ntworking,penetration testing,encryption",d2fb81e9-8fec-59d3-0361-a2aa1ee7a256,"python,blender,swift,java,dockr",0,"['siem', 'ntworking', 'penetration testing', 'encryption']","['python', 'blender', 'swift', 'java', 'dockr']"
"this task involves designing a devops app skills needed cicd,ws,terraform,docker",devops,"cicd,ws,terraform,docker",c76facc5-521b-31e7-c398-a6605b4ce387,"c,html,flutter,numpy,python",0,"['cicd', 'ws', 'terraform', 'docker']","['c', 'html', 'flutter', 'numpy', 'python']"
"this tsk involves testing dt science pp skills needed scikitlern,numpy,pnds,python",data science,"scikitlern,numpy,pandas,python",aa5db2be-4c73-2d76-6e7c-447e1ad57434,"java,javascript,nodejs",0,"['scikitlern', 'numpy', 'pandas', 'python']","['java', 'javascript', 'nodejs']"
"this tsk involves testing dt science pp skills needed scikitlern,pnds,sql,python",data science,"scikitlarn,pandas,sql,python",1ae1574f-9fc3-776c-fefb-9b1426d22557,"javascript,c,cicd,nodjs",0,"['scikitlarn', 'pandas', 'sql', 'python']","['javascript', 'c', 'cicd', 'nodjs']"
"this tsk involves improving mobile development pp skills needed rect ntive,swift",mobile development,"rect ntive,swift",3c054c41-54d9-2762-4706-32380f5f8baa,"rect ntive,swift,numpy",1,"['rect ntive', 'swift']","['rect ntive', 'swift', 'numpy']"
"this tsk involves designing web development pp skills needed nodejs,html,jvscript,rect",web development,"nodejs,html,jvscript,react",82614fb7-1094-0f9e-d3e3-f7004ac26e41,"html,react,sql",1,"['nodejs', 'html', 'jvscript', 'react']","['html', 'react', 'sql']"
"this task involves testing a game development app skills needed c,c,unity",gme development,"c,c,unity",b4c6495b-f898-e8ad-db03-371f7e85b5cf,"jvscript,python,css,unreal engine,scikitlern",0,"['c', 'c', 'unity']","['jvscript', 'python', 'css', 'unreal engine', 'scikitlern']"
"this task involves designing a web development app skills needed javascript,react,html",web development,"javascript,ract,html",d29d81c0-36a5-18f9-fd59-1dee78adcf2d,"firwalls,kubernetes,jv",0,"['javascript', 'ract', 'html']","['firwalls', 'kubernetes', 'jv']"
"this tsk involves improving web development pp skills needed nodejs,html,css",web development,"nodjs,html,css",371c8258-7d97-fc54-87a1-fccea8ad2016,"sql,networking,encryption",0,"['nodjs', 'html', 'css']","['sql', 'networking', 'encryption']"
"this task involves improving a devops app skills needed terrform,docker,aws,cicd",devops,"terrform,docker,aws,cicd",01d9307e-90f1-8269-9c98-221aa435db6d,"python,pnds,kubernetes",0,"['terrform', 'docker', 'aws', 'cicd']","['python', 'pnds', 'kubernetes']"
"this tsk involves designing mobile development pp skills needed jv,rect ntive,swift,flutter",mobile development,"java,rect ntive,swift,flutter",ba296071-f5c6-89ea-2c90-6d8f56f9d40a,"swift,java,c",1,"['java', 'rect ntive', 'swift', 'flutter']","['swift', 'java', 'c']"
"this tsk involves testing cybersecurity pp skills needed penetration testing,encryption,networking",cybersecurity,"penetration testing,encryption,networking",d95dd409-a673-ec29-1ad7-ad2644fe017a,"css,c,java",0,"['penetration testing', 'encryption', 'networking']","['css', 'c', 'java']"
"this task involves improving a web development app skills needed html,css",web development,"html,css",d9a43c8b-8d87-89fb-3492-3841e0284f07,"aws,flutter,react",0,"['html', 'css']","['aws', 'flutter', 'react']"
"this tsk involves testing dt science pp skills needed numpy,pnds,scikitlern,sql",data science,"numpy,pandas,scikitlern,sql",65510c38-3edb-a0e5-7896-e5bec520ac40,"numpy,pnds,aws,cicd",1,"['numpy', 'pandas', 'scikitlern', 'sql']","['numpy', 'pnds', 'aws', 'cicd']"
